@relation 'librossa_features_2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T 0.045 -N -1'

@attribute pitch_q3 numeric
@attribute pitch_median numeric
@attribute pitch_mean numeric
@attribute pitch_q1 numeric
@attribute spectral_centroid_q1 numeric
@attribute mfcc_3_mean numeric
@attribute pitch_shimmer numeric
@attribute mfcc_3_q1 numeric
@attribute spectral_flatness_q1 numeric
@attribute pitch_jitter numeric
@attribute pitch_range numeric
@attribute mfcc_1_delta_min numeric
@attribute pitch_iqr numeric
@attribute mfcc_3_q3 numeric
@attribute mfcc_2_mean numeric
@attribute spectral_flatness_median numeric
@attribute spectral_rolloff_q1 numeric
@attribute mfcc_2_q3 numeric
@attribute mfcc_3_median numeric
@attribute pitch_max numeric
@attribute spectral_centroid_mean numeric
@attribute mfcc_3_min numeric
@attribute mfcc_5_min numeric
@attribute spectral_centroid_median numeric
@attribute energy_q1 numeric
@attribute mfcc_4_min numeric
@attribute mfcc_2_iqr numeric
@attribute zcr_q1 numeric
@attribute pitch_std_dev numeric
@attribute mfcc_4_mean numeric
@attribute mfcc_2_max numeric
@attribute mfcc_4_q1 numeric
@attribute zcr_std_dev numeric
@attribute mfcc_2_median numeric
@attribute mfcc_1_delta_skewness numeric
@attribute spectral_centroid_min numeric
@attribute spectral_contrast_1_mean numeric
@attribute mfcc_2_q1 numeric
@attribute spectral_bandwidth_median numeric
@attribute mfcc_6_std_dev numeric
@attribute mfcc_3_max numeric
@attribute energy_min numeric
@attribute zcr_q3 numeric
@attribute mfcc_13_std_dev numeric
@attribute mfcc_3_jitter numeric
@attribute mfcc_2_jitter numeric
@attribute mfcc_6_delta_std_dev numeric
@attribute zcr_iqr numeric
@attribute mfcc_1_jitter numeric
@attribute zcr_range numeric
@attribute mfcc_2_delta_jitter numeric
@attribute mfcc_2_std_dev numeric
@attribute mfcc_2_delta2_std_dev numeric
@attribute mfcc_6_delta_shimmer numeric
@attribute mfcc_13_range numeric
@attribute mfcc_6_min numeric
@attribute spectral_bandwidth_q1 numeric
@attribute mfcc_6_delta2_shimmer numeric
@attribute mfcc_1_delta2_shimmer numeric
@attribute mfcc_2_delta2_max numeric
@attribute mfcc_4_q3 numeric
@attribute emotion {negative,positive,neutral}

@data
-0.586886,-0.787221,-0.769832,-0.803461,-1.781776,0.647535,-0.676944,0.211404,-1.008859,-0.913405,-0.806515,0.68381,0.103499,0.860232,1.702359,-0.786945,-1.74242,1.395991,0.805128,-0.9859,-2.198127,0.561322,1.446654,-1.686182,0.989951,1.011283,0.548108,-1.543921,-0.567567,1.344045,1.043402,1.015678,-1.54294,1.779517,-1.480168,-1.084357,2.031544,1.68409,-2.003052,3.305014,0.485298,1.349327,-1.298732,-0.594212,0.990834,0.474099,2.974033,-1.097849,0.723489,-1.922673,-0.444815,0.302794,0.130954,1.539038,-0.282959,-2.093566,-1.763151,1.771945,-0.160312,-0.350563,1.477422,negative
-0.381285,-0.31974,-0.30086,-0.392751,-1.500312,0.646325,0.743659,-0.118471,-1.009312,0.363658,1.113925,1.125054,-0.212943,1.156455,1.577111,-0.786138,-1.566931,1.955037,0.860384,0.952596,-1.580584,0.471368,0.73319,-1.537687,0.506541,0.032925,2.246256,-1.543921,0.711705,0.50744,1.349918,1.120781,-1.276073,1.551637,0.832003,-1.035565,1.758169,0.969227,-2.039679,2.589334,1.400755,1.181259,-1.250344,-0.251608,1.469858,1.822635,1.715424,-1.041908,0.388877,-1.410491,2.194086,2.001221,2.205876,2.040051,-0.125505,-1.707085,-1.855129,2.356697,0.036834,1.501658,0.565476,negative
-0.470971,-0.457444,-0.498476,-0.535268,-1.574883,0.528514,0.413008,0.234692,-1.006759,-0.21117,0.959825,0.330472,-0.154343,0.859116,1.64483,-0.786518,-1.577675,1.746112,0.605617,0.763726,-1.693586,-0.15403,-0.130379,-1.628694,0.594724,0.331695,2.234717,-1.245459,-0.092873,0.195987,1.323499,-0.521302,-1.477077,1.922114,0.232632,-0.918811,1.774729,0.650956,-1.949043,2.537362,0.337509,0.195406,-1.247161,-0.754357,0.619143,1.154822,2.107906,-1.11625,0.362544,-1.792193,1.109779,1.893027,1.047511,1.81503,-0.844474,-2.101287,-1.799571,2.201058,-1.170673,1.086397,0.324193,negative
-0.416234,-0.460076,-0.507324,-0.50187,-1.117416,-0.030405,-0.555031,-0.324117,-1.000798,-0.596853,-0.529981,0.084588,-0.073943,0.601182,1.260658,-0.78563,-1.269675,1.571587,-0.555105,-0.70645,-1.288211,-0.557176,0.210796,-1.414813,-0.082909,-0.375606,1.98078,-1.070886,-0.496281,1.025394,1.654551,1.069257,-0.843907,1.44141,0.037376,-0.797378,1.561474,0.614619,-1.575769,3.429303,1.248213,0.15312,-1.138925,-0.476618,1.160805,1.390185,3.937615,-1.036756,0.70707,-0.401709,2.105068,2.182151,1.846743,3.286367,0.598412,-2.25542,-1.435896,1.914264,0.731826,2.062533,1.30786,negative
-0.457396,-0.493509,-0.473841,-0.576474,-1.358565,0.358965,0.48534,0.024946,-1.003868,-0.202657,1.786548,0.56527,-0.027111,0.409663,1.236361,-0.786555,-1.35921,1.217941,0.458151,1.624148,-1.711685,-0.101313,1.255541,-1.5162,-0.020993,0.148637,1.492716,-1.237012,0.648731,0.884812,0.826931,0.692831,-1.249798,1.428025,-0.216782,-0.805204,1.693835,0.516095,-1.63104,2.925321,1.0318,0.144046,-1.191133,-0.83758,1.397823,0.65373,2.833764,-1.053685,0.132769,-1.157322,0.730621,0.463866,0.575655,3.186221,-0.529516,-2.190838,-1.570975,3.438907,0.635782,-0.030999,0.899456,negative
-0.541434,-0.47575,-0.333025,-0.441757,-1.727461,1.630141,1.644035,1.202402,-1.009937,0.842834,1.64133,0.339767,-0.55378,1.782825,1.714042,-0.787699,-1.785397,1.882313,1.776622,1.434956,-2.006235,1.453784,0.875566,-1.901113,1.867347,0.514365,1.614185,-1.543921,1.496469,1.912025,1.365364,1.622124,-1.559197,1.675812,-0.972537,-1.061714,1.9934,1.448537,-2.341182,2.221576,0.990782,2.478916,-1.307009,0.54949,0.693475,1.367677,2.249154,-1.107417,-0.111107,-1.912936,2.532339,1.868325,2.22542,1.809238,0.469232,-1.240253,-2.118958,3.054261,-0.98146,2.747874,2.163641,negative
-0.679153,-0.590633,-0.76759,-0.662918,-1.863488,0.16807,-0.582114,-0.690911,-1.008727,-0.698054,-0.809168,-1.211553,-0.458773,1.720762,2.671193,-0.787575,-1.792559,2.267099,0.211139,-1.108979,-2.119894,-0.571234,0.829994,-1.716894,2.150998,-0.074226,1.247987,-1.543921,-0.803147,0.775864,2.226387,0.690261,-1.518248,2.806929,-1.282161,-1.059181,1.84675,2.398747,-2.308402,2.138291,0.446943,3.383525,-1.294275,-1.392262,0.994624,0.205259,1.708868,-1.092696,0.234603,-1.905146,0.9912,1.096088,0.63785,1.712016,-1.229105,-1.619451,-1.981522,0.959721,0.395669,1.355567,0.863525,negative
-0.497229,-0.476574,-0.561226,-0.669558,-2.141385,1.01299,1.052248,0.50433,-1.010034,0.126241,0.818744,0.301446,0.063491,1.498489,1.682339,-0.787897,-2.107723,1.868052,1.410118,0.69199,-2.428727,0.447598,1.410443,-2.043386,0.860858,0.58274,1.69889,-1.543921,0.069466,1.169085,1.700832,1.470771,-1.501829,1.231419,-1.174283,-1.034833,1.836693,1.346487,-2.348299,2.811179,1.107163,1.645723,-1.317195,-1.183104,0.379452,-0.364124,1.383663,-1.119194,-0.425428,-1.903198,-0.001215,1.246077,-0.18279,0.781742,-1.25281,-1.656366,-1.875651,0.320212,-1.041615,-0.368837,0.824008,negative
-0.548255,-0.426868,-0.657248,-0.717684,-1.986013,1.83386,-0.554564,1.436569,-1.009708,-0.562391,-0.897139,1.8198,0.02538,1.725311,1.428783,-0.78756,-1.849862,1.057573,1.850359,-1.048913,-2.048603,1.332706,0.974758,-1.853317,2.074123,0.873137,0.079009,-1.543921,-0.621371,2.393824,1.62115,1.997867,-1.605977,1.210721,-0.537903,-0.98363,1.900349,1.591735,-2.166186,2.251914,1.030086,3.299715,-1.365583,-0.303671,0.798082,1.080884,2.695388,-1.175135,-0.027302,-2.002519,1.644552,0.57918,1.740509,2.844714,0.034463,-1.398392,-1.860545,3.046679,0.457902,1.945216,2.421736,negative
-0.580827,-0.584243,-0.659487,-0.621422,-1.801323,1.186368,-0.533934,0.635024,-1.009889,-0.667103,-0.898634,-0.017555,-0.274245,1.465326,2.229541,-0.787785,-1.706606,2.178061,1.231864,-0.991957,-2.139723,0.722675,0.555512,-1.919223,1.184821,-0.185615,2.260424,-1.543921,-0.769138,-0.007751,2.212849,-0.242269,-1.507607,2.428071,-1.135845,-1.057653,1.847349,1.307241,-2.361211,1.193903,0.975964,2.079748,-1.307009,-0.226013,0.750125,0.856315,0.438865,-1.107417,0.271597,-1.778561,1.093074,1.862152,1.366456,0.891582,-0.025198,-1.104606,-2.434701,0.343533,-0.135498,2.046271,-0.120847,negative
